pheno,dataset,seed,leakage_type,r,q2,r_yp
attn,hbn,96.0,leak_covars,0.014885783904015714,-0.14469248708048643,0.9734523094104783
attn,hcpd,18.0,leak_covars,-0.042933375566005696,-0.15077186077384552,0.945231210931932
attn,hcpd,26.0,leak_covars,-0.04677909235996448,-0.1505667732031537,0.9534330586778609
mr,hbn,16.0,leak_covars,0.2379484284935495,0.018594628387943568,0.9188870034350825
mr,hcpd,69.0,leak_covars,0.23200609703996827,0.018125190830592053,0.9614925791929394
mr,hcpd,30.0,leak_covars,0.27759950916739756,0.05471823857392499,0.9609361389346184
age,abcd,20.0,leak_covars,0.23876830533541504,0.03615699424561669,0.9960828555458048
age,pnc,1.0,leak_covars,0.6134331333425668,0.37463914147153055,0.9976498892735851
mr,pnc,93.0,leak_covars,0.264662842974591,0.046093593252322984,0.9834071119025801
attn,abcd,41.0,leak_covars,0.11333402264283766,-0.0951068481135191,0.9889740932715776
age,hcpd,77.0,leak_covars,0.7937913614385664,0.6246660751456679,0.9957273343239178
age,hcpd,9.0,leak_covars,0.7803876219495487,0.6052161204664361,0.9962748912580474
mr,pnc,44.0,leak_covars,0.2646089519457071,0.042525268876378086,0.9861138956101728
age,hcpd,95.0,leak_covars,0.7890028136015207,0.6171193343262196,0.9952734294153327
mr,hbn,19.0,leak_covars,0.262981514025153,0.04007095877472344,0.9440691771607855
attn,hbn,23.0,leak_covars,0.0013840639553083802,-0.15308721977576667,0.9734138157595866
mr,abcd,29.0,leak_covars,0.24527767625655023,0.05744240743254825,0.9950444402827845
attn,pnc,40.0,leak_covars,-0.015909642883331822,-0.1550273428138571,0.9656568301378482
age,hbn,67.0,leak_covars,0.7422199136215684,0.546406704618576,0.9978355395087698
age,hcpd,92.0,leak_covars,0.7894158867630355,0.6180792725523623,0.995488025920483
age,pnc,0.0,leak_covars,0.6365734879128139,0.40159832664259865,0.9978125789903727
attn,hbn,31.0,leak_covars,-0.02362705957023903,-0.17422864686983375,0.9737045367550475
attn,hbn,66.0,leak_covars,-0.018804880061632747,-0.16752404096550633,0.9700982099065947
mr,hbn,94.0,leak_covars,0.24144968611099873,0.018087091990785065,0.9501377735207834
attn,hbn,68.0,leak_covars,-0.01052807196623925,-0.15863557350456903,0.9742397498832809
attn,pnc,63.0,leak_covars,0.006839510753395066,-0.14914441928602473,0.9725942877125899
mr,hbn,13.0,leak_covars,0.22770815903478916,0.004899776592893534,0.9484269715889709
mr,hbn,33.0,leak_covars,0.26466215465925436,0.041380098375529806,0.9453428301762993
attn,pnc,74.0,leak_covars,0.0023499093675734338,-0.14497880002418229,0.9633406834729592
attn,pnc,62.0,leak_covars,-0.00228672937064283,-0.15507665354817224,0.974738288721152
age,hcpd,56.0,leak_covars,0.7835276137783418,0.6098166365818164,0.9953821768124804
attn,hbn,99.0,leak_covars,0.000547593869751914,-0.15050789693318234,0.9684762135754
attn,hbn,67.0,leak_covars,-0.004040159038662807,-0.16791398118237555,0.974126960141078
mr,hbn,41.0,leak_covars,0.2631379852929266,0.03867715948662076,0.9431184271894749
age,hcpd,23.0,leak_covars,0.7880225026400308,0.6169089100408417,0.9955366729211068
mr,pnc,74.0,leak_covars,0.2583654201466757,0.03839583325112417,0.9840487795864857
attn,abcd,73.0,leak_covars,0.11305999859640462,-0.09215083232682075,0.9873621172164282
age,abcd,6.0,leak_covars,0.2503916087872543,0.037775927268000054,0.9954577751173518
age,pnc,94.0,leak_covars,0.6157359053471927,0.37791204230536557,0.9962857897259789
